data_type,bucket,count
words,0,7028
words,1,6975
words,2,6978
words,3,7059
words,4,7073
words,5,6959
words,6,6904
words,7,6998
words,8,7098
words,9,7049
words,10,7105
words,11,6932
words,12,6928
words,13,7065
words,14,7070
words,15,7036
words,16,7087
words,17,6981
words,18,7057
words,19,7097
words,20,6908
words,21,6950
words,22,6983
words,23,6929
words,24,7023
words,25,6964
words,26,6911
words,27,6994
words,28,6923
words,29,7013
words,30,7013
words,31,7018
words,32,6961
words,33,6960
words,34,6945
words,35,6996
words,36,7037
words,37,6964
words,38,6943
words,39,6961
words,40,6991
words,41,6915
words,42,7097
words,43,6975
words,44,7115
words,45,6993
words,46,6927
words,47,7134
words,48,7001
words,49,6977
dna,0,7103
dna,1,6993
dna,2,6864
dna,3,7013
dna,4,6994
dna,5,6971
dna,6,6914
dna,7,6980
dna,8,6817
dna,9,7055
dna,10,7081
dna,11,6985
dna,12,6903
dna,13,6952
dna,14,6947
dna,15,7012
dna,16,6991
dna,17,6973
dna,18,7108
dna,19,7024
dna,20,7025
dna,21,7074
dna,22,7164
dna,23,6971
dna,24,7047
dna,25,6899
dna,26,7026
dna,27,7036
dna,28,6996
dna,29,7023
dna,30,7153
dna,31,6862
dna,32,7087
dna,33,7019
dna,34,6982
dna,35,7015
dna,36,7007
dna,37,6903
dna,38,6996
dna,39,6813
dna,40,7036
dna,41,7159
dna,42,7096
dna,43,6994
dna,44,7023
dna,45,6987
dna,46,6931
dna,47,6981
dna,48,7061
dna,49,6954
