expected_items,target_false_positive_rate,average_item_bytes_baseline,raw_storage_bytes_baseline,bloom_memory_bytes,bit_count,hash_count,compression_ratio_raw_divided_by_bloom,bloom_size_as_fraction_of_raw
1000,0.1,16,16000,600,4793,3,26.666666666666668,0.0375
1000,0.05,16,16000,780,6236,4,20.512820512820515,0.04875
1000,0.01,16,16000,1199,9586,7,13.344453711426189,0.0749375
1000,0.001,16,16000,1798,14378,10,8.898776418242491,0.112375
10000,0.1,16,160000,5991,47926,3,26.70672675680187,0.03744375
10000,0.05,16,160000,7795,62353,4,20.525978191148173,0.04871875
10000,0.01,16,160000,11982,95851,7,13.353363378400935,0.0748875
10000,0.001,16,160000,17972,143776,10,8.902737591809482,0.112325
100000,0.1,16,1600000,59907,479253,3,26.70806416612416,0.037441875
100000,0.05,16,1600000,77941,623523,4,20.52834836607177,0.048713125
100000,0.01,16,1600000,119814,958506,7,13.35403208306208,0.07488375
100000,0.001,16,1600000,179720,1437759,10,8.902737591809482,0.112325
