data_type,bucket,count
words,0,703
words,1,684
words,2,683
words,3,708
words,4,691
words,5,685
words,6,689
words,7,708
words,8,715
words,9,682
words,10,685
words,11,673
words,12,665
words,13,730
words,14,735
words,15,659
words,16,715
words,17,733
words,18,730
words,19,690
words,20,716
words,21,688
words,22,712
words,23,693
words,24,675
words,25,713
words,26,708
words,27,712
words,28,735
words,29,701
words,30,718
words,31,702
words,32,734
words,33,700
words,34,664
words,35,706
words,36,720
words,37,750
words,38,761
words,39,653
words,40,725
words,41,655
words,42,659
words,43,695
words,44,692
words,45,638
words,46,715
words,47,685
words,48,731
words,49,681
dna,0,692
dna,1,722
dna,2,707
dna,3,684
dna,4,719
dna,5,717
dna,6,720
dna,7,650
dna,8,692
dna,9,697
dna,10,668
dna,11,690
dna,12,707
dna,13,671
dna,14,770
dna,15,723
dna,16,739
dna,17,698
dna,18,707
dna,19,686
dna,20,694
dna,21,687
dna,22,718
dna,23,734
dna,24,700
dna,25,730
dna,26,683
dna,27,714
dna,28,713
dna,29,681
dna,30,668
dna,31,756
dna,32,729
dna,33,702
dna,34,729
dna,35,646
dna,36,685
dna,37,713
dna,38,683
dna,39,638
dna,40,718
dna,41,647
dna,42,692
dna,43,703
dna,44,720
dna,45,714
dna,46,665
dna,47,651
dna,48,714
dna,49,714
